date,channel_name,campaign_type,industry,country,impressions,clicks,CTR,CPC,spend,conversions,CPA,conversion_value,ROAS
2024-01-21,Google Ads,Search,Fintech,UAE,59886,2113,3.5283705707510937,1.26,2662.38,159,16.744528301886792,4803.43,1.8041864797662241
2024-01-22,TikTok Ads,Search,EdTech,UK,135608,5220,3.8493304229838947,1.1800000000000002,6159.6,411,14.986861313868614,64126.68,10.410851353984024
2024-06-15,TikTok Ads,Video,Healthcare,USA,92313,5991,6.489876832082156,0.8500000000000001,5092.35,267,19.072471910112363,10489.07,2.0597700472277043
2024-01-02,TikTok Ads,Shopping,SaaS,Germany,83953,5935,7.069431705835408,1.32,7834.2,296,26.46689189189189,50505.07,6.4467424880651505
2024-02-22,TikTok Ads,Search,Healthcare,UK,91807,4489,4.889605367782413,1.9300000000000002,8663.77,107,80.96981308411215,3369.53,0.3889219127469912
2024-10-15,TikTok Ads,Search,Fintech,Canada,17666,724,4.098267859164497,0.37,267.88,23,11.64695652173913,5220.85,19.489510228460507
2024-08-14,Meta Ads,Video,Fintech,USA,118252,3748,3.169502418563745,0.42000000000000004,1574.16,152,10.356315789473685,12838.56,8.15581643543223
2024-04-05,TikTok Ads,Search,EdTech,UAE,92939,5176,5.56924434306373,0.6599999999999999,3416.16,388,8.804536082474227,96298.69,28.1891626855885
2024-04-17,Meta Ads,Display,EdTech,Germany,30939,937,3.0285400303823655,0.5900000000000001,552.83,63,8.775079365079366,16531.03,29.902555939438884
2024-11-13,Google Ads,Shopping,Fintech,USA,8748,362,4.13808870598994,1.21,438.02,10,43.802,966.57,2.206680060271221
2024-04-22,Meta Ads,Video,E-commerce,UAE,98264,3144,3.199544085321176,1.56,4904.64,129,38.02046511627907,23127.27,4.715385838715991
2024-09-11,Meta Ads,Video,Fintech,Canada,173229,5092,2.9394616374856404,1.72,8758.24,65,134.74215384615385,12320.17,1.4066947240541479
2024-05-26,Meta Ads,Video,SaaS,Canada,147483,2138,1.4496586047205442,0.5700000000000001,1218.66,159,7.664528301886793,42434.18,34.82036006761525
2024-02-29,Google Ads,Shopping,SaaS,USA,116472,4006,3.439453259152414,2.68,10736.08,291,36.89374570446736,78428.38,7.305122540070491
2024-04-22,TikTok Ads,Shopping,EdTech,Canada,37711,2111,5.5978361751213175,0.68,1435.48,92,15.60304347826087,13898.86,9.682378019895785
2024-10-15,TikTok Ads,Shopping,E-commerce,Germany,96412,7047,7.309256109198026,1.11,7822.17,194,40.32046391752577,36717.43,4.694020968605899
2024-08-13,TikTok Ads,Video,Fintech,Canada,184476,8854,4.799540319607971,0.35000000000000003,3098.9,198,15.651010101010101,56216.92,18.140927425860788
2024-08-20,TikTok Ads,Search,Fintech,Germany,38828,3607,9.289687854125889,0.97,3498.79,116,30.161982758620688,8788.51,2.511871246916791
2024-12-25,Meta Ads,Video,SaaS,Canada,187957,4586,2.4399197688833087,2.1,9630.6,271,35.53726937269373,34433.97,3.575475048283596
2024-11-01,Google Ads,Video,SaaS,Canada,34592,1615,4.668709528214616,1.15,1857.25,116,16.010775862068964,4344.96,2.339458877372459
2024-07-04,Meta Ads,Shopping,Fintech,USA,185798,5889,3.169571254803604,0.9,5300.1,400,13.250250000000001,41326.63,7.797330239052092
2024-12-30,TikTok Ads,Video,EdTech,India,194407,13122,6.749756953196131,0.8500000000000001,11153.7,379,29.429287598944594,56289.95,5.046751302258443
2024-11-13,Google Ads,Search,SaaS,UAE,188062,8143,4.329955014835533,1.8,14657.4,614,23.871986970684038,124232.5,8.47575286203556
2024-12-14,Meta Ads,Shopping,Healthcare,India,195710,4481,2.2896121812886414,0.5299999999999999,2374.93,352,6.7469602272727265,27223.39,11.462817851473517
2024-04-09,Google Ads,Display,Healthcare,Australia,198824,9046,4.549752544964391,3.6100000000000003,32656.06,407,80.23601965601966,71482.19,2.1889410418770665
2024-06-08,Meta Ads,Shopping,SaaS,USA,196962,5081,2.579685421553396,2.06,10466.86,282,37.11652482269504,24196.95,2.3117678081105506
2024-08-29,Google Ads,Shopping,SaaS,UAE,105386,3783,3.589660865769647,1.82,6885.06,130,52.962,36776.35,5.341471243533099
2024-09-05,Google Ads,Search,Healthcare,UAE,49425,1996,4.038442083965604,1.27,2534.92,98,25.866530612244897,9253.27,3.6503203256907515
2024-12-26,Meta Ads,Video,E-commerce,Canada,191141,4453,2.329693786262497,1.23,5477.19,72,76.07208333333332,8367.46,1.5276921194992321
2024-05-23,TikTok Ads,Shopping,EdTech,Canada,91900,4696,5.109902067464636,0.53,2488.88,367,6.781689373297003,109696.83,44.07477660634502
2024-11-26,Google Ads,Video,Healthcare,Canada,11801,795,6.736717227353614,2.97,2361.15,57,41.42368421052632,3966.25,1.6797958621857991
2024-11-16,Meta Ads,Display,Fintech,UAE,193926,5837,3.009910996978229,1.0,5837.0,193,30.243523316062177,28429.29,4.870531094740449
2024-02-27,Google Ads,Display,EdTech,India,35355,961,2.718144534012162,2.22,2133.42,68,31.373823529411766,6145.22,2.880454856521454
2024-11-12,TikTok Ads,Shopping,Healthcare,UAE,133148,9120,6.849520833959204,0.5,4560.0,279,16.344086021505376,83385.98,18.286399122807016
2024-01-12,Meta Ads,Video,E-commerce,Canada,104657,4029,3.8497186045844995,0.7100000000000001,2860.59,204,14.0225,10401.62,3.6361799488916624
2024-05-24,TikTok Ads,Shopping,Fintech,India,174160,9683,5.5598300413412955,1.84,17816.72,512,34.79828125,73177.92,4.107261044681625
2024-01-05,TikTok Ads,Display,Fintech,UAE,6015,410,6.816292601828762,1.93,791.3,28,28.260714285714283,4383.32,5.539390875774043
2024-01-06,Meta Ads,Search,Healthcare,Australia,17763,726,4.08714744131059,1.9400000000000002,1408.44,30,46.948,1946.19,1.381805401721053
2024-10-14,TikTok Ads,Search,EdTech,India,97193,6230,6.409926640807466,1.6,9968.0,306,32.57516339869281,81609.12,8.187110754414125
2024-03-06,Meta Ads,Shopping,Healthcare,UAE,58682,1748,2.9787669131931427,1.49,2604.52,84,31.006190476190476,12746.65,4.894049575353616
2024-03-21,TikTok Ads,Display,SaaS,Canada,108196,5334,4.929941957188806,0.99,5280.66,289,18.272179930795847,27408.56,5.190366355720687
2024-01-08,Google Ads,Search,Fintech,India,63243,1707,2.6991129453062,2.2399999999999998,3823.68,37,103.3427027027027,3893.12,1.0181605155243116
2024-08-20,Google Ads,Search,E-commerce,UAE,152979,4650,3.039632890788932,0.79,3673.5,330,11.131818181818181,91949.73,25.030551245406286
2024-01-08,Google Ads,Display,EdTech,USA,132600,6802,5.12971342383107,1.53,10407.06,97,107.28927835051546,6779.29,0.651412598755076
2024-09-30,Google Ads,Video,Fintech,Australia,110977,4150,3.739513592906638,1.13,4689.5,197,23.804568527918782,18314.78,3.9054867256637165
2024-03-07,Google Ads,Search,EdTech,UK,87152,3599,4.129566733982008,2.6300000000000003,9465.37,127,74.53047244094489,25958.5,2.742470711657336
2024-08-16,Meta Ads,Shopping,Fintech,UAE,164096,1919,1.1694374024960998,0.66,1266.54,139,9.11179856115108,7181.17,5.669911728014907
2024-08-10,Meta Ads,Shopping,Healthcare,Germany,21389,941,4.399457665154986,0.7999999999999999,752.8,46,16.36521739130435,8479.43,11.263854941551543
2024-04-27,Google Ads,Shopping,Healthcare,India,69323,2169,3.128831700878496,2.19,4750.11,94,50.53308510638298,16337.12,3.4393140369380926
2024-05-17,Google Ads,Display,SaaS,UAE,138291,3318,2.399288456949476,0.8300000000000001,2753.94,217,12.690967741935484,12761.51,4.633909961727562
2024-11-29,TikTok Ads,Shopping,EdTech,UK,72444,2339,3.2287007895753965,1.3900000000000001,3251.21,153,21.249738562091505,12919.22,3.9736651892679955
2024-12-04,Google Ads,Search,Healthcare,UAE,160002,7520,4.699941250734366,2.96,22259.2,403,55.23374689826303,70823.58,3.1817666403105234
2024-08-12,Meta Ads,Search,E-commerce,USA,16246,448,2.7576018712298414,1.99,891.52,8,111.44,1955.09,2.1929850143575016
2024-06-05,Meta Ads,Shopping,Fintech,Germany,15789,423,2.6790803724111725,1.81,765.63,7,109.37571428571428,1223.95,1.5986181314734271
